,Words,length,page_num,pos_tag
0,2002,4,0,"('2002', 'CD')"
1,And,3,0,"('And', 'CC')"
2,And,3,1,"('And', 'CC')"
3,And,3,2,"('And', 'CC')"
4,British,7,1,"('British', 'JJ')"
5,But,3,0,"('But', 'CC')"
6,But,3,1,"('But', 'CC')"
7,Citizen,7,0,"('Citizen', 'NNP')"
8,Craig,5,1,"('Craig', 'NNP')"
9,Dad,3,1,"('Dad', 'NNP')"
10,Doubt,5,1,"('Doubt', 'NNP')"
11,Episode,7,0,"('Episode', 'NNP')"
12,Episode,7,1,"('Episode', 'NNP')"
13,First,5,0,"('First', 'NNP')"
14,Her,3,1,"('Her', 'PRP$')"
15,Inevitable,10,1,"('Inevitable', 'JJ')"
16,Japanese,8,1,"('Japanese', 'JJ')"
17,July,4,0,"('July', 'NNP')"
18,Kane,4,0,"('Kane', 'NNP')"
19,Laurie,6,0,"('Laurie', 'NNP')"
20,Like,4,0,"('Like', 'IN')"
21,Listen,6,1,"('Listen', 'NNP')"
22,Maddey,6,0,"('Maddey', 'NNP')"
23,Mom,3,1,"('Mom', 'NNP')"
24,Next,4,0,"('Next', 'JJ')"
25,One,3,0,"('One', 'CD')"
26,One,3,1,"('One', 'CD')"
27,One,3,1,"('One', 'NNP')"
28,Pennsylvania,12,0,"('Pennsylvania', 'NNP')"
29,Prologue,8,0,"('Prologue', 'NNP')"
30,Ronnie,6,1,"('Ronnie', 'NNP')"
31,STORY,5,0,"('STORY', 'NNP')"
32,Shawn,5,0,"('Shawn', 'NNP')"
33,She,3,0,"('She', 'PRP')"
34,She,3,2,"('She', 'PRP')"
35,Sorts,5,0,"('Sorts', 'VBZ')"
36,States,6,0,"('States', 'NNPS')"
37,Strength,8,1,"('Strength', 'NNP')"
38,The,3,0,"('The', 'DT')"
39,The,3,1,"('The', 'DT')"
40,The,3,2,"('The', 'DT')"
41,Then,4,2,"('Then', 'RB')"
42,Two,3,1,"('Two', 'CD')"
43,United,6,0,"('United', 'NNP')"
44,across,6,2,"('across', 'IN')"
45,acting,6,1,"('acting', 'VBG')"
46,addressing,10,1,"('addressing', 'VBG')"
47,age,3,0,"('age', 'NN')"
48,ahead,5,0,"('ahead', 'RB')"
49,alcohol,7,1,"('alcohol', 'NN')"
50,always,6,1,"('always', 'RB')"
51,arm,3,0,"('arm', 'JJ')"
52,arm,3,0,"('arm', 'NN')"
53,arm,3,2,"('arm', 'NN')"
54,around,6,0,"('around', 'IN')"
55,around,6,0,"('around', 'RP')"
56,around,6,1,"('around', 'IN')"
57,around,6,2,"('around', 'IN')"
58,ask,3,1,"('ask', 'NN')"
